diameter,height,shucked_weight,shell_weight,rings,sex_F,sex_M
0.475,0.17,0.48,0.425,20,1,0
0.48,0.175,0.474,0.38,11,0,1
0.45,0.195,0.481,0.315,13,1,0
0.475,0.15,0.4425,0.28,15,1,0
0.475,0.14,0.3625,0.315,9,0,1
0.47,0.15,0.363,0.305,10,1,0
0.425,0.14,0.282,0.285,11,1,0
0.475,0.17,0.4695,0.345,14,1,0
0.445,0.14,0.3845,0.285,9,1,0
0.51,0.175,0.5105,0.675,12,0,1
0.425,0.165,0.396,0.32,16,1,0
0.475,0.16,0.408,0.58,21,0,1
0.45,0.14,0.38,0.36,14,0,1
0.465,0.18,0.339,0.44,12,1,0
0.465,0.14,0.4825,0.4,13,0,1
0.44,0.16,0.3305,0.26,10,0,1
0.355,0.13,0.2205,0.165,9,1,0
0.45,0.16,0.3135,0.33,12,1,0
0.425,0.135,0.341,0.255,15,0,1
0.44,0.15,0.307,0.26,12,0,1
0.465,0.175,0.4015,0.39,13,0,1
0.495,0.165,0.507,0.39,10,1,0
0.56,0.19,0.588,0.485,15,0,1
0.535,0.195,0.5755,0.48,14,0,1
0.435,0.15,0.269,0.25,9,0,1
0.375,0.13,0.214,0.145,8,0,1
0.37,0.13,0.201,0.165,7,0,1
0.375,0.125,0.2775,0.155,10,1,0
0.265,0.095,0.105,0.075,7,0,0
0.435,0.145,0.328,0.255,15,0,1
0.435,0.16,0.316,0.335,15,0,1
0.415,0.14,0.3105,0.205,10,0,1
0.47,0.16,0.4975,0.345,12,0,1
0.41,0.155,0.291,0.235,12,1,0
0.43,0.165,0.2935,0.28,11,1,0
0.4,0.125,0.261,0.22,10,1,0
0.39,0.135,0.231,0.2,9,1,0
0.395,0.105,0.136,0.13,9,1,0
0.395,0.125,0.2375,0.155,9,0,1
0.36,0.105,0.172,0.175,9,0,1
0.32,0.08,0.1485,0.105,9,0,0
0.35,0.105,0.13,0.165,9,0,1
0.41,0.125,0.2975,0.21,11,1,0
0.415,0.115,0.233,0.18,11,1,0
0.375,0.135,0.2555,0.22,11,1,0
0.34,0.105,0.1305,0.165,10,0,1
0.43,0.15,0.3465,0.31,9,1,0
0.305,0.085,0.1145,0.085,8,0,1
0.365,0.105,0.163,0.14,9,1,0
0.295,0.085,0.103,0.085,7,0,0
0.425,0.14,0.304,0.255,14,1,0
0.265,0.075,0.09,0.07,6,0,1
0.28,0.08,0.081,0.07,6,0,0
0.195,0.06,0.0285,0.03,5,0,0
0.275,0.09,0.1075,0.07,6,0,0
0.29,0.085,0.112,0.08,8,0,0
0.535,0.16,0.63,0.54,19,0,1
0.54,0.165,0.7665,0.78,18,0,1
0.48,0.165,0.4835,0.41,17,0,1
0.35,0.125,0.175,0.129,9,1,0
0.26,0.09,0.085,0.062,7,1,0
0.26,0.095,0.086,0.068,7,0,0
0.2,0.065,0.04,0.028,7,0,0
0.33,0.115,0.1635,0.1355,8,1,0
0.23,0.08,0.0675,0.048,7,1,0
0.255,0.09,0.094,0.063,9,0,1
0.325,0.11,0.151,0.117,9,1,0
0.285,0.095,0.096,0.0925,9,0,1
0.445,0.155,0.341,0.2475,10,1,0
0.45,0.145,0.295,0.2665,10,1,0
0.52,0.19,0.519,0.4465,16,0,1
0.455,0.155,0.34,0.2425,11,0,1
0.375,0.13,0.2075,0.17,10,0,1
0.38,0.125,0.245,0.174,10,1,0
0.35,0.12,0.224,0.1565,10,0,1
0.205,0.08,0.052,0.042,9,0,0
0.13,0.055,0.0105,0.0125,5,0,0
0.13,0.095,0.013,0.01,4,0,0
0.475,0.145,0.4415,0.325,15,0,1
0.5,0.185,0.469,0.335,9,1,0
0.515,0.19,0.5065,0.45,10,1,0
0.485,0.16,0.37,0.355,10,1,0
0.45,0.135,0.387,0.31,12,1,0
0.405,0.13,0.32,0.21,10,0,1
0.46,0.19,0.392,0.34,13,1,0
0.485,0.215,0.546,0.635,16,0,1
0.455,0.17,0.374,0.285,13,1,0
0.46,0.165,0.2985,0.44,13,1,0
0.465,0.165,0.4215,0.34,13,0,1
0.485,0.16,0.53,0.28,13,1,0
0.485,0.175,0.544,0.345,12,0,1
0.56,0.21,0.65,1.005,18,1,0
0.545,0.23,0.5605,0.815,16,1,0
0.57,0.19,1.0705,0.725,14,0,1
0.575,0.175,0.765,0.85,20,1,0
0.57,0.205,0.625,0.65,20,1,0
0.56,0.22,0.8175,0.76,14,0,1
0.515,0.175,0.5125,0.62,12,1,0
0.55,0.215,0.7125,0.59,14,0,1
0.395,0.145,0.308,0.255,7,1,0
0.435,0.155,0.486,0.285,8,0,1
0.405,0.115,0.32,0.22,8,1,0
0.16,0.04,0.0185,0.015,5,0,0
0.26,0.09,0.0645,0.075,7,0,0
0.21,0.06,0.06,0.035,5,0,0
0.245,0.085,0.053,0.05,8,0,0
0.16,0.045,0.025,0.015,4,0,0
0.475,0.15,0.385,0.35,11,0,1
0.48,0.18,0.399,0.295,14,0,1
0.51,0.175,0.515,0.57,21,0,1
0.45,0.16,0.429,0.3,10,1,0
0.475,0.175,0.4355,0.325,10,1,0
0.51,0.2,0.621,0.46,12,1,0
0.49,0.19,0.5455,0.355,13,0,1
0.48,0.15,0.392,0.285,12,1,0
0.5,0.185,0.54,0.38,10,1,0
0.48,0.16,0.5265,0.315,11,1,0
0.46,0.17,0.365,0.29,9,1,0
0.48,0.18,0.4845,0.325,13,0,1
0.485,0.17,0.419,0.36,12,0,1
0.45,0.15,0.276,0.36,14,0,1
0.275,0.085,0.092,0.15,8,0,0
0.4,0.14,0.459,0.195,10,1,0
0.405,0.155,0.346,0.245,12,0,1
0.41,0.15,0.285,0.21,11,1,0
0.5,0.185,0.4445,0.465,16,0,1
0.45,0.16,0.432,0.26,15,0,1
0.46,0.185,0.3635,0.285,10,0,1
0.345,0.12,0.1655,0.135,9,1,0
0.4,0.165,0.254,0.285,13,0,1
0.4,0.145,0.234,0.23,12,1,0
0.435,0.17,0.2985,0.275,13,1,0
0.335,0.115,0.171,0.12,8,0,1
0.34,0.14,0.186,0.16,9,1,0
0.3,0.11,0.109,0.12,9,0,0
0.34,0.11,0.1495,0.12,8,0,0
0.415,0.17,0.2755,0.31,13,1,0
0.28,0.095,0.122,0.08,7,0,0
0.365,0.145,0.1995,0.22,10,1,0
0.25,0.09,0.0755,0.06,7,0,1
0.325,0.105,0.1595,0.12,12,1,0
0.405,0.14,0.241,0.205,9,0,1
0.395,0.16,0.2475,0.235,14,1,0
0.405,0.14,0.244,0.255,10,0,1
0.35,0.13,0.174,0.135,8,0,1
0.3,0.12,0.1265,0.11,7,0,0
0.36,0.135,0.1665,0.165,10,0,1
0.305,0.13,0.1305,0.105,8,1,0
0.325,0.125,0.1785,0.14,9,1,0
0.35,0.145,0.187,0.18,11,1,0
0.375,0.15,0.22,0.19,9,1,0
0.355,0.15,0.181,0.155,11,1,0
0.38,0.105,0.1285,0.1,10,0,0
0.37,0.135,0.1715,0.155,9,1,0
0.29,0.125,0.121,0.09,7,1,0
0.27,0.085,0.078,0.07,7,0,0
0.465,0.165,0.404,0.35,11,1,0
0.415,0.16,0.2935,0.245,15,1,0
0.445,0.135,0.336,0.275,13,0,1
0.44,0.175,0.31,0.325,14,0,1
0.505,0.215,0.496,0.435,22,0,1
0.215,0.075,0.0485,0.035,7,0,0
0.35,0.135,0.1815,0.125,12,0,0
0.225,0.08,0.0485,0.04,9,0,0
0.055,0.01,0.001,0.0015,1,0,0
0.1,0.03,0.0045,0.004,3,0,0
0.09,0.03,0.0025,0.003,3,0,0
0.12,0.035,0.0075,0.005,5,0,0
0.425,0.16,0.3495,0.275,17,0,1
0.2,0.07,0.034,0.035,5,0,0
0.175,0.065,0.026,0.02,5,0,0
0.23,0.08,0.0435,0.04,8,0,0
0.255,0.085,0.063,0.06,8,0,0
0.26,0.085,0.0705,0.06,10,0,0
0.245,0.08,0.0635,0.05,13,0,0
0.275,0.085,0.0745,0.07,9,0,0
0.245,0.075,0.0675,0.045,7,0,0
0.27,0.11,0.082,0.07,7,0,0
0.25,0.105,0.0655,0.06,7,0,0
0.47,0.18,0.4205,0.36,13,0,1
0.455,0.155,0.5135,0.3,12,1,0
0.46,0.185,0.4485,0.345,15,1,0
0.495,0.165,0.485,0.34,15,0,1
0.45,0.175,0.3835,0.37,15,0,1
0.45,0.185,0.3805,0.41,19,0,1
0.46,0.16,0.341,0.345,10,0,1
0.505,0.17,0.605,0.365,15,1,0
0.475,0.16,0.4775,0.295,13,1,0
0.475,0.155,0.394,0.26,11,1,0
0.44,0.125,0.3675,0.27,12,1,0
0.42,0.165,0.319,0.245,11,0,1
0.195,0.06,0.0445,0.026,4,0,0
0.2,0.08,0.0465,0.04,6,0,1
0.38,0.13,0.3,0.16,11,1,0
0.45,0.15,0.3615,0.235,14,0,1
0.275,0.11,0.1225,0.0905,8,0,1
0.39,0.15,0.2185,0.255,9,0,1
0.36,0.125,0.2035,0.17,13,1,0
0.525,0.215,0.4535,0.55,22,1,0
0.5,0.2,0.412,0.37,16,0,1
0.485,0.205,0.3875,0.385,14,0,1
0.505,0.225,0.56,0.45,15,0,1
0.515,0.155,0.4105,0.41,13,0,1
0.54,0.215,0.7425,0.585,22,0,1
0.53,0.185,0.493,0.49,12,1,0
0.5,0.24,0.532,0.69,18,0,1
0.525,0.205,0.55,0.43,20,0,1
0.425,0.135,0.2665,0.25,11,1,0
0.415,0.185,0.314,0.3,15,1,0
0.285,0.105,0.0915,0.075,7,0,0
0.355,0.12,0.177,0.15,9,1,0
0.395,0.14,0.2285,0.225,14,0,1
0.38,0.175,0.325,0.31,14,0,1
0.415,0.17,0.295,0.285,10,1,0
0.435,0.155,0.288,0.205,10,0,1
0.4,0.155,0.242,0.205,17,1,0
0.355,0.125,0.132,0.19,9,0,1
0.435,0.16,0.3155,0.24,10,1,0
0.435,0.18,0.3835,0.325,17,0,1
0.505,0.21,0.501,0.355,12,1,0
0.475,0.165,0.428,0.315,15,0,1
0.455,0.175,0.342,0.35,19,1,0
0.495,0.195,0.384,0.375,26,0,1
0.215,0.085,0.049,0.04,6,0,0
0.205,0.075,0.045,0.035,6,0,0
0.21,0.085,0.039,0.03,4,0,0
0.395,0.14,0.2215,0.15,11,0,1
0.28,0.105,0.0905,0.075,9,0,1
0.305,0.095,0.1455,0.1,9,1,0
0.435,0.175,0.322,0.335,13,1,0
0.28,0.1,0.1065,0.074,8,0,1
0.27,0.1,0.0885,0.0715,6,0,1
0.36,0.13,0.182,0.15,10,1,0
0.145,0.06,0.0125,0.011,4,0,0
0.12,0.03,0.007,0.005,3,0,0
0.515,0.24,0.471,0.535,13,0,1
0.41,0.125,0.2505,0.195,14,0,1
0.435,0.145,0.3925,0.275,10,0,1
0.485,0.19,0.4635,0.39,21,1,0
0.44,0.14,0.443,0.265,14,0,1
0.455,0.195,0.4595,0.345,19,0,1
0.47,0.2,0.381,0.435,23,1,0
0.485,0.175,0.4335,0.46,23,0,1
0.355,0.11,0.194,0.14,8,0,0
0.535,0.19,0.576,0.39,14,1,0
0.35,0.1,0.1465,0.12,10,0,1
0.455,0.155,0.315,0.32,18,1,0
0.255,0.095,0.066,0.06,6,0,0
0.21,0.06,0.0425,0.03,5,0,0
0.145,0.04,0.0165,0.015,4,0,0
0.31,0.1,0.1065,0.1,11,0,1
0.205,0.07,0.039,0.035,5,0,0
0.265,0.105,0.0935,0.075,7,0,1
0.275,0.09,0.097,0.08,7,0,0
0.255,0.1,0.073,0.065,7,0,0
0.4,0.13,0.27,0.205,12,0,1
0.295,0.105,0.0865,0.095,8,0,1
0.28,0.09,0.0885,0.09,8,0,0
0.38,0.155,0.2135,0.2,12,0,1
0.325,0.12,0.134,0.095,8,1,0
0.22,0.08,0.0475,0.035,5,0,0
0.175,0.04,0.0335,0.02,5,0,0
0.6,0.195,0.598,0.71,16,1,0
0.465,0.19,0.5705,0.355,11,0,1
0.475,0.19,0.403,0.325,14,0,1
0.45,0.185,0.473,0.425,16,0,1
0.475,0.185,0.6045,0.33,13,0,1
0.45,0.195,0.406,0.285,15,1,0
0.455,0.145,0.581,0.3,14,0,1
0.51,0.205,0.4775,0.48,14,1,0
0.465,0.185,0.579,0.32,12,0,1
0.375,0.18,0.2325,0.17,12,1,0
0.425,0.155,0.3005,0.24,8,1,0
0.39,0.14,0.2795,0.18,13,0,1
0.42,0.16,0.2745,0.275,9,1,0
0.26,0.08,0.08,0.055,6,0,0
0.305,0.115,0.092,0.09,8,0,0
0.48,0.15,0.56,0.28,14,0,1
0.495,0.185,0.536,0.245,8,1,0
0.45,0.17,0.3325,0.27,22,1,0
0.46,0.14,0.4465,0.245,12,0,1
0.455,0.17,0.408,0.22,9,0,1
0.515,0.17,0.509,0.34,16,0,1
0.58,0.205,0.7415,0.58,20,0,1
0.525,0.185,0.6935,0.395,13,0,1
0.525,0.19,0.7035,0.395,18,1,0
0.585,0.215,0.9265,0.7,17,0,1
0.545,0.18,0.7495,0.485,16,1,0
0.49,0.18,0.48,0.35,18,0,1
0.465,0.15,0.392,0.34,12,1,0
0.525,0.175,0.61,0.445,20,1,0
0.48,0.15,0.4085,0.295,16,1,0
0.5,0.175,0.4985,0.35,12,1,0
0.515,0.16,0.4215,0.355,19,0,1
0.465,0.145,0.4405,0.265,11,0,1
0.455,0.12,0.479,0.265,10,1,0
0.49,0.18,0.458,0.315,12,0,1
0.56,0.215,0.68,0.47,17,1,0
0.545,0.165,0.6645,0.415,16,1,0
0.565,0.195,0.692,0.5,16,1,0
0.58,0.2,0.585,0.6,19,1,0
0.575,0.17,0.5095,0.42,14,1,0
0.52,0.15,0.4635,0.4,13,0,1
0.545,0.195,0.6845,0.605,20,1,0
0.49,0.19,0.4935,0.285,11,0,1
0.45,0.16,0.4995,0.25,10,1,0
0.465,0.175,0.3895,0.37,15,0,1
0.495,0.185,0.3705,0.33,12,1,0
0.47,0.18,0.3755,0.385,15,0,1
0.42,0.145,0.33,0.25,10,0,1
0.4,0.135,0.313,0.2,10,0,1
0.375,0.12,0.226,0.195,12,0,1
0.425,0.135,0.373,0.235,10,0,1
0.37,0.105,0.216,0.135,9,1,0
0.42,0.155,0.3515,0.215,12,0,1
0.38,0.135,0.207,0.145,10,0,1
0.42,0.125,0.239,0.22,14,0,1
0.375,0.12,0.222,0.14,9,0,0
0.325,0.1,0.1535,0.105,10,0,0
0.375,0.125,0.277,0.18,10,0,1
0.375,0.125,0.252,0.18,10,1,0
0.295,0.095,0.1075,0.08,9,0,0
0.275,0.095,0.0755,0.07,6,0,0
0.31,0.1,0.116,0.115,11,0,0
0.395,0.14,0.3165,0.24,10,1,0
0.38,0.145,0.2385,0.185,8,0,1
0.44,0.15,0.256,0.26,12,0,1
0.455,0.15,0.4355,0.31,11,0,1
0.365,0.12,0.27,0.175,9,1,0
0.455,0.135,0.295,0.235,9,0,1
0.325,0.11,0.178,0.155,7,1,0
0.415,0.14,0.3115,0.2,10,1,0
0.345,0.12,0.1655,0.11,7,0,0
0.44,0.15,0.3685,0.24,12,1,0
0.355,0.115,0.2125,0.15,8,0,1
0.485,0.12,0.39,0.29,16,0,1
0.45,0.145,0.4,0.285,11,0,1
0.44,0.095,0.3395,0.235,8,0,1
0.5,0.165,0.4565,0.34,15,0,1
0.475,0.12,0.41,0.28,14,0,1
0.46,0.12,0.4625,0.28,11,1,0
0.44,0.12,0.3475,0.24,12,0,1
0.495,0.17,0.528,0.39,14,1,0
0.47,0.14,0.3605,0.36,15,1,0
0.5,0.17,0.5595,0.4,20,1,0
0.515,0.165,0.488,0.45,20,0,1
0.5,0.155,0.367,0.36,16,1,0
0.41,0.14,0.223,0.235,13,0,1
0.54,0.165,0.518,0.505,14,1,0
0.38,0.12,0.2165,0.155,11,0,0
0.39,0.135,0.2465,0.2,13,1,0
0.225,0.07,0.036,0.035,8,0,0
0.2,0.07,0.037,0.03,6,0,0
0.45,0.175,0.425,0.32,13,0,1
0.485,0.165,0.3935,0.33,18,1,0
0.5,0.16,0.3995,0.33,19,0,1
0.455,0.125,0.344,0.375,21,1,0
0.45,0.17,0.3775,0.385,18,1,0
0.45,0.175,0.38,0.295,18,1,0
0.47,0.155,0.4375,0.325,20,0,1
0.455,0.17,0.342,0.32,18,0,1
0.42,0.14,0.2475,0.255,22,0,1
0.345,0.1,0.122,0.12,13,0,0
0.41,0.15,0.2815,0.22,11,0,1
0.275,0.095,0.084,0.09,7,0,0
0.305,0.095,0.0915,0.09,14,0,0
0.3,0.09,0.143,0.085,9,0,1
0.415,0.165,0.249,0.25,13,0,1
0.275,0.11,0.095,0.085,10,0,0
0.26,0.1,0.0785,0.07,8,0,0
0.425,0.14,0.275,0.285,19,1,0
0.295,0.1,0.134,0.085,10,0,0
0.325,0.105,0.159,0.12,10,1,0
0.455,0.19,0.283,0.275,9,1,0
0.435,0.185,0.329,0.39,13,0,1
0.455,0.185,0.354,0.375,16,0,1
0.5,0.175,0.4765,0.375,12,0,1
0.455,0.15,0.365,0.26,18,1,0
0.565,0.215,0.6975,0.58,16,0,1
0.535,0.16,0.592,0.42,16,1,0
0.555,0.195,0.581,0.36,17,1,0
0.49,0.155,0.405,0.255,11,1,0
0.55,0.175,0.57,0.33,14,1,0
0.47,0.14,0.3485,0.24,11,0,1
0.54,0.175,0.51,0.39,15,1,0
0.28,0.105,0.0695,0.08,9,0,0
0.31,0.11,0.123,0.0995,10,0,0
0.41,0.135,0.293,0.235,11,1,0
0.285,0.1,0.115,0.075,11,0,1
0.465,0.17,0.3865,0.265,12,1,0
0.185,0.07,0.026,0.025,6,0,0
0.165,0.055,0.0215,0.02,5,0,0
0.195,0.07,0.0255,0.025,6,0,0
0.125,0.05,0.008,0.008,5,0,0
0.55,0.19,0.5425,0.4,12,1,0
0.53,0.195,0.567,0.41,13,0,1
0.55,0.21,0.5975,0.625,17,1,0
0.555,0.2,0.545,0.465,21,0,1
0.44,0.135,0.313,0.2185,9,1,0
0.405,0.12,0.2895,0.177,10,1,0
0.34,0.12,0.151,0.1045,9,0,0
0.405,0.12,0.2645,0.181,11,1,0
0.415,0.16,0.272,0.2765,10,1,0
0.415,0.175,0.261,0.2645,17,0,1
0.35,0.115,0.1565,0.1345,9,1,0
0.54,0.175,0.4955,0.415,17,0,1
0.59,0.225,0.637,0.58,21,0,1
0.545,0.185,0.5305,0.455,16,0,1
0.585,0.185,0.7055,0.475,29,1,0
0.4,0.155,0.3605,0.3,17,0,1
0.465,0.125,0.3785,0.24,15,0,1
0.46,0.15,0.429,0.26,19,1,0
0.48,0.145,0.4235,0.305,12,0,1
0.465,0.14,0.381,0.315,13,1,0
0.45,0.13,0.378,0.29,11,0,1
0.515,0.15,0.5235,0.36,15,1,0
0.42,0.135,0.3485,0.235,11,0,1
0.455,0.165,0.44,0.285,14,1,0
0.455,0.145,0.475,0.285,14,0,1
0.46,0.13,0.357,0.29,13,0,1
0.51,0.155,0.5345,0.41,11,1,0
0.53,0.175,0.486,0.415,15,0,1
0.5,0.195,0.5875,0.37,17,0,1
0.5,0.15,0.3445,0.305,15,1,0
0.52,0.175,0.4245,0.48,12,1,0
0.485,0.165,0.435,0.3,19,1,0
0.525,0.155,0.427,0.345,11,1,0
0.45,0.175,0.3275,0.305,10,0,1
0.44,0.18,0.3665,0.245,12,1,0
0.52,0.225,0.378,0.395,23,1,0
0.47,0.225,0.378,0.36,15,1,0
0.505,0.19,0.4385,0.36,13,1,0
0.485,0.19,0.4385,0.42,17,1,0
0.47,0.175,0.4865,0.315,15,0,1
0.46,0.235,0.3325,0.305,12,0,1
0.455,0.225,0.3815,0.365,15,0,1
0.435,0.18,0.36,0.25,11,0,1
0.445,0.155,0.3005,0.275,16,0,0
0.53,0.185,0.439,0.34,10,0,0
0.35,0.14,0.221,0.135,10,1,0
0.38,0.145,0.249,0.21,10,1,0
0.22,0.085,0.061,0.045,6,0,1
0.195,0.07,0.031,0.025,5,1,0
0.195,0.08,0.0385,0.03,6,0,1
0.29,0.115,0.1115,0.075,9,0,1
0.2,0.08,0.033,0.03,5,0,1
0.23,0.09,0.06,0.045,4,0,1
0.25,0.09,0.078,0.055,6,1,0
0.15,0.05,0.0155,0.01,3,0,1
0.27,0.09,0.0845,0.055,5,1,0
0.26,0.115,0.0935,0.07,9,0,0
0.14,0.055,0.0145,0.01,5,0,1
0.16,0.06,0.0265,0.015,4,0,1
0.125,0.04,0.0095,0.005,4,0,1
0.11,0.04,0.0065,0.005,3,0,1
0.445,0.155,0.282,0.235,14,1,0
0.45,0.16,0.3965,0.26,12,1,0
0.3,0.095,0.0885,0.085,9,0,1
0.42,0.185,0.299,0.205,20,0,0
0.355,0.13,0.192,0.13,13,1,0
0.37,0.12,0.1845,0.155,12,0,0
0.335,0.11,0.1695,0.11,9,1,0
0.37,0.14,0.2095,0.145,10,0,0
0.38,0.13,0.1895,0.155,11,0,0
0.405,0.14,0.2,0.179,11,0,0
0.23,0.075,0.043,0.04,7,0,1
0.205,0.07,0.0335,0.0325,5,0,1
0.29,0.115,0.093,0.0885,10,1,0
0.375,0.14,0.242,0.179,15,1,0
0.355,0.115,0.1585,0.131,11,1,0
0.325,0.115,0.1,0.1135,15,0,1
0.35,0.115,0.1565,0.117,8,0,1
0.29,0.105,0.099,0.085,10,1,0
0.245,0.075,0.0585,0.049,11,0,1
0.195,0.065,0.0315,0.027,8,0,1
0.155,0.045,0.017,0.0155,7,0,1
0.45,0.16,0.3605,0.23,12,1,0
0.425,0.18,0.3695,0.255,11,0,0
0.515,0.16,0.495,0.33,17,0,0
0.49,0.155,0.4145,0.345,13,0,0
0.44,0.165,0.335,0.25,12,0,0
0.37,0.12,0.2075,0.155,13,0,0
0.39,0.125,0.287,0.12,9,0,0
0.385,0.15,0.2605,0.16,10,0,0
0.405,0.15,0.3075,0.255,14,0,0
0.5,0.165,0.4585,0.37,12,1,0
0.53,0.17,0.519,0.44,13,1,0
0.4,0.145,0.267,0.22,13,0,0
0.34,0.105,0.148,0.1175,8,1,0
0.4,0.12,0.2705,0.17,13,0,0
0.35,0.115,0.1715,0.155,11,1,0
0.415,0.15,0.2795,0.2185,11,1,0
0.355,0.13,0.2005,0.185,14,1,0
0.255,0.065,0.0705,0.06,10,0,1
0.355,0.13,0.245,0.168,12,0,0
0.33,0.125,0.1685,0.096,12,0,0
0.21,0.08,0.041,0.0345,7,0,1
0.32,0.115,0.165,0.0985,11,1,0
0.35,0.14,0.21,0.1275,16,0,0
0.345,0.135,0.1975,0.1175,14,0,0
0.455,0.155,0.382,0.415,20,1,0
0.44,0.14,0.3785,0.305,17,1,0
0.475,0.15,0.4145,0.345,10,0,0
0.475,0.14,0.5275,0.35,11,1,0
0.425,0.14,0.4005,0.26,10,0,0
0.435,0.175,0.4055,0.27,10,1,0
0.445,0.15,0.383,0.255,11,0,0
0.48,0.175,0.5015,0.515,17,1,0
0.49,0.175,0.5565,0.365,11,1,0
0.425,0.15,0.376,0.245,14,0,0
0.525,0.19,0.6615,0.435,19,1,0
0.355,0.14,0.216,0.115,13,0,0
0.305,0.1,0.1735,0.11,11,1,0
0.39,0.125,0.284,0.2,11,0,0
0.425,0.17,0.28,0.195,10,0,0
0.41,0.145,0.3095,0.25,13,1,0
0.335,0.14,0.164,0.15,14,0,1
0.31,0.12,0.138,0.095,13,1,0
0.4,0.15,0.2865,0.235,13,0,0
0.29,0.115,0.111,0.075,9,1,0
0.41,0.175,0.3585,0.205,18,0,0
0.52,0.18,0.526,0.42,19,1,0
0.42,0.15,0.2575,0.24,12,0,1
0.455,0.18,0.3015,0.3,13,0,0
0.43,0.14,0.2565,0.225,9,1,0
0.47,0.14,0.3385,0.32,13,0,0
0.495,0.145,0.369,0.36,12,0,0
0.445,0.195,0.305,0.335,16,1,0
0.42,0.145,0.398,0.25,17,0,0
0.315,0.11,0.1225,0.0835,10,1,0
0.3,0.1,0.1075,0.0865,13,1,0
0.345,0.115,0.2005,0.166,11,0,0
0.39,0.14,0.2,0.2235,12,0,0
0.345,0.125,0.16,0.154,13,0,0
0.27,0.09,0.078,0.059,9,0,1
0.37,0.13,0.181,0.136,10,0,0
0.285,0.1,0.0675,0.081,10,0,1
0.265,0.09,0.0575,0.068,12,0,1
0.345,0.17,0.15,0.1515,12,1,0
0.145,0.05,0.01,0.012,4,0,1
0.24,0.075,0.0475,0.06,9,0,1
0.37,0.125,0.185,0.169,18,0,0
0.35,0.145,0.2085,0.1655,15,0,0
0.345,0.135,0.128,0.148,13,0,1
0.355,0.14,0.1525,0.152,12,1,0
0.24,0.085,0.0655,0.049,7,0,1
